Fruits or crop,Name of the disease,Symptoms
Mung bean,Mung bean mosaic virus,"Yellow-green spots appear on the affected leaves. Young leaves are usually affected first. If the infestation is severe, the entire leaf may turn yellow and drop off."
Mung bean,Mung leaf curling disease,"Leaf three is relatively large and light green in color with three leaflets. Leaves shrivel and shrivel and leathery symptoms appear. Infected crops suffer from wilting of inflorescences and stunted appearance of crops. The formation of pods and seeds is severely reduced, resulting in severe yield losses."
Mustard,Alternaria blight disease,"Symptoms of this disease are observed on the older leaves under the mustard plant in the initial stage. Later, the attack of this fungus causes circular black spots on the leaves, stems and fruits of the plant. If the level of attack is high, leaves are scorched."
Mustard,Downy Millview disease of mustard,"The disease appears at any time after the seedling stage.White powder is seen under the affected leaves.If the attack is heavy, the leaves become scorched and shriveled, resulting in reduced yield."
Mole,Sesame leaf burn disease,"This disease is caused by bacterial attack. In case of this disease, small water-soaked spots appear on the leaves. The spots get bigger. Leaves dry and curl. The leaves are like burning."
Mole,Sesame hawk moth insect,"If this insect attacks the seedling stage, it eats the leaves by combining multiple leaves. Sometimes it pierces the stem and eats. They cause damage by piercing flowers and even fruits."
Mole,Sesame thrips,Insects suck the young leaves and sap of the tree and weaken the tree. Fruit spots are caused by attacks on flowers and young fruits.
Lentils,White mold disease of lentils,"This disease is caused by fungal attack. In this, white cotton-like material is seen on the leaf tips, stems and the affected parts rot."
Lentils,Mosaic disease of lentils,"In case of this disease, green-yellow spots are seen on the leaves. Plant growth slows down. The tree becomes bushy."
Lentils,Stemphyllium blight disease of lentils,"At any age this disease attacks, the tree turns brown and the tree dies in severe attacks."
Peanuts ,Groundnut tick disease,"Due to this disease, brown spots surrounded by yellow lines are formed on the leaves. The spots gradually enlarge and spread, the spots are dark brown to light in color. Leaves fall slowly."
Peanuts ,Anthracnose disease of groundnut,"This disease is caused by fungal attack. In this, round yellow-edged spots are seen on the leaves, which gradually enlarge and spread over the entire leaves and stems."
Peanuts ,Jacid beetle of groundnut,Harms both adults and children. They eat the sap of the leaves from the saplings to the end. Affected leaves become discolored. Leaves turn yellow to copper in color and later dry up.
Peanuts ,Groundnut weevil,The green part of the reverse side of the leaf is eaten and leaves the leaf like a thin white curtain. They spread throughout the field and cause extensive damage to crops by eating whole leaves.
Soybeans,Powdery mildew disease of soybean,"White powdery spots appear on the leaves and plants, which gradually spread to all the leaves. If the affected is more, the leaves turn yellow or black and die."
Soybeans,Soybean leaf rust disease,"The attack of this disease is more in old trees. On the lower side of the leaf, first there is a spot like a little raised point like rust. If the attack is more, the disease is seen on the upper back of the leaf."
Soybeans,Soybean sting bug,"Killing insects by hand netting. If more than 20 insects are found in every 100 sweepings, Edmere 0.5 ml. / Ltd. Spray in the late afternoon by mixing with water."
Cabbage,Cabbage bird infestation problem,Birds peck at the young leaves and tear them off.
Cabbage,Yellow virus disease of cabbage,"If this disease occurs, the leaves turn yellow. Most attacks do not produce edible parts of the plant."
Cabbage,Cabbage not having a head is a problem,"Cabbage may not produce heads due to various reasons such as: excessive urea application, weevil attack at seedling stage, too early or too late planting, too alkaline soil."
Cabbage,Cabbage root rot disease,"Water-soaked spots can be seen around the base of the affected plant. At the base, white fungus and sometimes mustard-like fungi are found. Roots rot, saplings fall and trees die. If the soil and surface of the soil become hard during Satsya, the incidence of disease increases. The disease is soil borne and spreads through soil, infected plants and water."
Gourd,Gray mold disease of gourd,"When this disease occurs, water-soaked spots appear on the leaves and a fungal coating falls on the stems. At one point the stem rots."
Gourd,Leaf curl disease of gourd,"It is a viral disease. The virus is spread by whiteflies. Affected trees are stunted. On the surface of the leaves, folds like tau are formed, and they shrivel. Older leaves become thick and wrinkled. Extra branches emerge and the flower loses its ability to bear fruit."
Gourd,Laue's scab disease,"Lesions can be seen on leaves, stems and gourds. The leaves of the tree wither."
Gourd,Gourd leaf blight disease,"Small yellow to brown spots appear on the affected leaves. Gradually, multiple spots merge into large spots and spread on the leaves and the leaves look like burning."
Cauliflower,Yellow virus disease of cauliflower,"If this disease occurs, the leaves turn yellow. The tree does not bear fruit under heavy attack."
Cauliflower,Cauliflower black rot disease,Light brown to gray ash colored spots are seen on the affected leaves. The scar gradually enlarges and takes the shape of an English letter V as it progresses towards the midvein. The edges of the spots are yellow.
Cauliflower,Cauliflower card rot disease,"Generally brown round spots are seen on cauliflower card infected with fungus. Later, multiple spots combine to form large spots and the card rots. Cards rot quickly when attacked by bacteria."
Cauliflower,Cauliflower root rot disease,"Water-soaked spots can be seen around the base of the affected plant. At the base, white fungus and sometimes mustard-like fungi are found. Roots rot, saplings fall and trees die. If the soil and surface of the soil become hard during Satsya, the incidence of disease increases. The disease is soil borne and spreads through soil, infected plants and water."
Sweet pumpkin,Asperliz fruit rot disease of sweet gourd,"If this disease occurs, the lower part of the fruit attached to the soil first rots, and the fruit rots quickly. Cotton-like parts of the organism can be seen in the rotten part."
Sweet pumpkin,Sweet pumpkin scab disease,Removal of affected fruits from the field. Provide water drainage. 3. Laying straw or polythene under the fruit so that the fruit does not come in contact with the soil.
Sweet pumpkin,Sweet pumpkin scab disease,"Lesions can be seen on leaves, stems and gourds. The leaves of the tree wither."
Sweet pumpkin,Gummy stem blight disease of sweet pumpkin,"When this disease occurs, water-soaked spots appear on the leaves. Extensive infestation causes leaf rot. Red gum comes out when the stem bursts."
Mango,Mango giant millibug,"Many white insects live together sometimes separately.They suck sap and secrete a sticky sweet sap, which Pipilica comes to eat.If its attack is high, shooty mold fungus attacks and the affected part or even the whole plant dies."
